School Name,Attainment Score,Postcode,Town,ShortPC,County,Year
Farnham Heath End,44.1,GU9 9BN,Farnham,GU9 9,Surrey,2018
Howard of Effingham School,54.2,KT24 5JR,Leatherhead,KT24 ,Surrey,2018
Woolmer Hill School,46.7,GU27 1QB,Haslemere,GU27 ,Surrey,2018
Therfield School,47.5,KT22 7NZ,Leatherhead,KT22 ,Surrey,2018
Weydon School,62.6,GU9 8UG,Farnham,GU9 8,Surrey,2018
Warlingham School,48.5,CR6 9YB,Warlingham,CR6 9,Surrey,2018
The Magna Carta School,49.3,TW18 3HJ,Staines,TW18 ,Surrey,2018
Glebelands School,51.1,GU6 7AN,Cranleigh,GU6 7,Surrey,2018
Rodborough,52.8,GU8 5BZ,Godalming,GU8 5,Surrey,2018
Tomlinscote School,51.3,GU16 8PY,Camberley,GU16 ,Surrey,2018
The Matthew Arnold School,45.7,TW18 1PF,Staines,TW18 ,Surrey,2018
The Ashcombe School,51.9,RH4 1LY,Dorking,RH4 1,Surrey,2018
George Abbot School,54.4,GU1 1XX,Guildford,GU1 1,Surrey,2018
The Bishop David Brown School,40.6,GU21 5RF,Woking,GU21 ,Surrey,2018
Sunbury Manor School,44.7,TW16 6LF,Sunbury-on-Thames,TW16 ,Surrey,2018
The Warwick School,38.9,RH1 4AD,Redhill,RH1 4,Surrey,2018
Woking High School,55.1,GU21 4TJ,Woking,GU21 ,Surrey,2018
Oakwood School,46.2,RH6 9AE,Horley,RH6 9,Surrey,2018
Kings International College,42.6,GU15 2PQ,Camberley,GU15 ,Surrey,2018
Esher Church of England High School,48.6,KT10 8AP,Esher,KT10 ,Surrey,2018
St Andrew's Catholic School,59.2,KT22 7JP,Leatherhead,KT22 ,Surrey,2018
St Peter's Catholic School,61.9,GU1 2TN,Guildford,GU1 2,Surrey,2018
St Bede's School,58.3,RH1 2LQ,Redhill,RH1 2,Surrey,2018
Royal Alexandra and Albert School,51.8,RH2 0TD,Reigate,RH2 0,Surrey,2018
The Bishop Wand Church of England School,52.5,TW16 6LT,Sunbury-on-Thames,TW16 ,Surrey,2018
Collingwood College,49.8,GU15 4AE,Camberley,GU15 ,Surrey,2018
"St John the Baptist Catholic Comprehensive School, Woking",62.5,GU22 9AL,Woking,GU22 ,Surrey,2018
Glyn School,56.3,KT17 1NB,Epsom,KT17 ,Surrey,2018
The Beacon School,42.7,SM7 1AG,Banstead,SM7 1,Surrey,2018
Rosebery School,62.6,KT18 7NQ,Epsom,KT18 ,Surrey,2018
Heathside School,61.3,KT13 8UZ,Weybridge,KT13 ,Surrey,2018
Thamesmead School,56,TW17 9EE,Shepperton,TW17 ,Surrey,2018
"Salesian School, Chertsey",60.1,KT16 9LU,Chertsey,KT16 ,Surrey,2018
Fullbrook School,50.8,KT15 3HW,Addlestone,KT15 ,Surrey,2018
The Winston Churchill School A Specialist Sports College,47.7,GU21 8TL,Woking,GU21 ,Surrey,2018
All Hallows Catholic School,57.5,GU9 9HF,Farnham,GU9 9,Surrey,2018
Hinchley Wood School,61.2,KT10 0AQ,Esher,KT10 ,Surrey,2018
Blenheim High School,47.5,KT19 9BH,Epsom,KT19 ,Surrey,2018
St Dominic's School,20,GU8 4DX,Godalming,GU8 4,Surrey,2018
Wishmore Cross Academy,5.9,GU24 8NE,Woking,GU24 ,Surrey,2018
Grafham Grange School,6.3,GU5 0LH,Guildford,GU5 0,Surrey,2018
Chart Wood School,2.2,RH1 3PU,Redhill,RH1 3,Surrey,2018
Sunnydown School,30.6,CR3 5ED,Caterham,CR3 5,Surrey,2018
Limpsfield Grange School,17,RH8 0RZ,Oxted,RH8 0,Surrey,2018
The Park School,2.2,GU22 7AT,Woking,GU22 ,Surrey,2018
The Abbey School,1.3,GU9 8DY,Farnham,GU9 8,Surrey,2018
Philip Southcote School,2.6,KT15 2QH,Addlestone,KT15 ,Surrey,2018
Woodfield School,1.9,RH1 3PR,Redhill,RH1 3,Surrey,2018
More House School,35.2,GU10 3AP,Farnham,GU10 ,Surrey,2018
Knowl Hill School,17.3,GU24 0JN,Woking,GU24 ,Surrey,2018
Stepping Stones School Hindhead,14.6,GU26 6SU,Hindhead,GU26 ,Surrey,2018
Unsted Park School,14.8,GU7 1UW,Godalming,GU7 1,Surrey,2018
Moor House School & College,16.4,RH8 9AQ,Oxted,RH8 9,Surrey,2018
The Abbey School,2,GU9 8DY,Farnham,GU9 8,Surrey,2021
All Hallows Catholic School,59.2,GU9 9HF,Farnham,GU9 9,Surrey,2021
Ash Manor School,52.2,GU12 6QH,Ash,GU12 ,Surrey,2021
The Ashcombe School,55.5,RH4 1LY,Dorking,RH4 1,Surrey,2021
The Beacon School,48.7,SM7 1AG,Banstead,SM7 1,Surrey,2021
The Bishop David Brown School,49.1,GU21 5RF,Woking,GU21 ,Surrey,2021
The Bishop Wand Church of England School,52.6,TW16 6LT,Sunbury-on-Thames,TW16 ,Surrey,2021
Blenheim High School,49.8,KT19 9BH,Epsom,KT19 ,Surrey,2021
Box Hill School,17.3,RH5 6EA,Dorking,RH5 6,Surrey,2021
Broadwater School,50.5,GU7 3BW,Godalming,GU7 3,Surrey,2021
Carrington School,41.9,RH1 4AD,Redhill,RH1 4,Surrey,2021
Carwarden House Community School,0.3,GU15 1EJ,Camberley,GU15 ,Surrey,2021
Caterham School,18.7,CR3 6YA,Caterham,CR3 6,Surrey,2021
Charterhouse,3.3,GU7 2DX,Godalming,GU7 2,Surrey,2021
Chertsey High School,50.5,KT15 2EP,Addlestone,KT15 ,Surrey,2021
"Christ's College, Guildford",48.5,GU1 1JY,Guildford,GU1 1,Surrey,2021
City of London Freemen's School,16.2,KT21 1ET,Surrey,KT21 ,Surrey,2021
Cobham Free School,55.3,KT11 1TF,Cobham,KT11 ,Surrey,2021
Collingwood College,53,GU15 4AE,Camberley,GU15 ,Surrey,2021
Cornfield School,12.1,RH1 5HS,Redhill,RH1 5,Surrey,2021
Cranleigh School,6.8,GU6 8QQ,Cranleigh,GU6 8,Surrey,2021
de Stafford School,43.1,CR3 5YX,Caterham,CR3 5,Surrey,2021
Duke of Kent School,34.3,GU6 7NS,Cranleigh,GU6 7,Surrey,2021
Dunottar School,52.8,RH2 7EL,Reigate,RH2 7,Surrey,2021
Epsom and Ewell High School,48.4,KT19 9JW,Epsom,KT19 ,Surrey,2021
Epsom College,14.7,KT17 4JQ,Epsom,KT17 ,Surrey,2021
Esher Church of England High School,50.8,KT10 8AP,Esher,KT10 ,Surrey,2021
Ewell Castle School,37.6,KT17 2AW,Epsom,KT17 ,Surrey,2021
Farnham Heath End,50,GU9 9BN,Farnham,GU9 9,Surrey,2021
Frensham Heights School,61.6,GU10 4EA,Farnham,GU10 ,Surrey,2021
Fullbrook School,52,KT15 3HW,Addlestone,KT15 ,Surrey,2021
George Abbot School,58.3,GU1 1XX,Guildford,GU1 1,Surrey,2021
Glebelands School,54.3,GU6 7AN,Cranleigh,GU6 7,Surrey,2021
Glyn School,60.5,KT17 1NB,Epsom,KT17 ,Surrey,2021
Gordon's School,64.7,GU24 9PT,Woking,GU24 ,Surrey,2021
Grafham Grange School,15,GU5 0LH,Guildford,GU5 0,Surrey,2021
Guildford County School,60.4,GU2 4LU,Guildford,GU2 4,Surrey,2021
Guildford High School,47.3,GU1 1SJ,Guildford,GU1 1,Surrey,2021
Halliford School,34,TW17 9HX,Shepperton,TW17 ,Surrey,2021
Heathside School,62.3,KT13 8UZ,Weybridge,KT13 ,Surrey,2021
Hinchley Wood School,62.4,KT10 0AQ,Esher,KT10 ,Surrey,2021
Hoe Valley School,48.8,GU22 0NH,Woking,GU22 ,Surrey,2021
Howard of Effingham School,59.9,KT24 5JR,Leatherhead,KT24 ,Surrey,2021
Jubilee High School,44.6,KT15 1TE,Addlestone,KT15 ,Surrey,2021
King Edward's School Witley,14,GU8 5SG,Godalming,GU8 5,Surrey,2021
Kings College Guildford,41.4,GU2 8DU,Guildford,GU2 8,Surrey,2021
Kings International College,46.4,GU15 2PQ,Camberley,GU15 ,Surrey,2021
Kingswood House School,53.1,KT19 8LG,Epsom,KT19 ,Surrey,2021
Knowl Hill School,13.4,GU24 0JN,Woking,GU24 ,Surrey,2021
Limpsfield Grange School,19.7,RH8 0RZ,Oxted,RH8 0,Surrey,2021
Lingfield College,37.1,RH7 6PH,Lingfield,RH7 6,Surrey,2021
The Magna Carta School,52.5,TW18 3HJ,Staines,TW18 ,Surrey,2021
Manor House School,47.7,KT23 4EN,Leatherhead,KT23 ,Surrey,2021
The Matthew Arnold School,42.7,TW18 1PF,Staines-upon-Thames,TW18 ,Surrey,2021
"Moon Hall School, Reigate",32.5,RH2 8RE,Reigate,RH2 8,Surrey,2021
Moor House School & College,11.3,RH8 9AQ,Oxted,RH8 9,Surrey,2021
More House School,30.7,GU10 3AP,Farnham,GU10 ,Surrey,2021
Oakwood School,46.6,RH6 9AE,Horley,RH6 9,Surrey,2021
OneSchool Global UK - Hindhead Campus,46,GU26 6SJ,Hindhead,GU26 ,Surrey,2021
Oxted School,47.5,RH8 0AB,Oxted,RH8 0,Surrey,2021
The Park School,2.9,GU22 7AT,Woking,GU22 ,Surrey,2021
Philip Southcote School,3.2,KT15 2QH,Addlestone,KT15 ,Surrey,2021
Prior's Field School,36.6,GU7 2RH,Godalming,GU7 2,Surrey,2021
The Priory CofE Voluntary Aided School,44.1,RH4 3DG,Dorking,RH4 3,Surrey,2021
Reeds School,14.7,KT11 2ES,Cobham,KT11 ,Surrey,2021
Reigate Grammar School,48.3,RH2 0QS,Reigate,RH2 0,Surrey,2021
Reigate School,52.8,RH2 7NT,Reigate,RH2 7,Surrey,2021
Rodborough,52.2,GU8 5BZ,Godalming,GU8 5,Surrey,2021
Rosebery School,64.4,KT18 7NQ,Epsom,KT18 ,Surrey,2021
Royal Alexandra and Albert School,52.3,RH2 0TD,Reigate,RH2 0,Surrey,2021
The Royal School,57.4,GU27 1HQ,Haslemere,GU27 ,Surrey,2021
St Andrew's Catholic School,68.1,KT22 7JP,Leatherhead,KT22 ,Surrey,2021
St Bede's School,61,RH1 2LQ,Redhill,RH1 2,Surrey,2021
St Catherine's School,17.4,GU5 0DF,Guildford,GU5 0,Surrey,2021
St Dominic's School,28.1,GU8 4DX,Godalming,GU8 4,Surrey,2021
St George's College Weybridge,20,KT15 2QS,Addlestone,KT15 ,Surrey,2021
St James Senior Boys' School,61.6,TW15 3DZ,Ashford,TW15 ,Surrey,2021
"St John the Baptist Catholic Comprehensive School, Woking",62.9,GU22 9AL,Woking,GU22 ,Surrey,2021
St John's School,21.8,KT22 8SP,Leatherhead,KT22 ,Surrey,2021
St Paul's Catholic College,62.4,TW16 6JE,Sunbury-on-Thames,TW16 ,Surrey,2021
St Peter's Catholic School,68.1,GU1 2TN,Guildford,GU1 2,Surrey,2021
St Teresa's School,49.8,RH5 6ST,Dorking,RH5 6,Surrey,2021
"Salesian School, Chertsey",65.4,KT16 9LU,Chertsey,KT16 ,Surrey,2021
Sunbury Manor School,42.4,TW16 6LF,Sunbury-on-Thames,TW16 ,Surrey,2021
Sunnydown School,24.6,CR3 5ED,Caterham,CR3 5,Surrey,2021
Thamesmead School,53.5,TW17 9EE,Shepperton,TW17 ,Surrey,2021
Therfield School,51.2,KT22 7NZ,Leatherhead,KT22 ,Surrey,2021
Thomas Knyvett College,43.4,TW15 3DU,Ashford,TW15 ,Surrey,2021
Three Rivers Academy,43.6,KT12 5EJ,Walton-on-Thames,KT12 ,Surrey,2021
Tomlinscote School,57.6,GU16 8PY,Camberley,GU16 ,Surrey,2021
Tormead School,51.6,GU1 2JD,Guildford,GU1 2,Surrey,2021
Unified Academy,5.9,RH5 4DB,Dorking,RH5 4,Surrey,2021
Unsted Park School,17.1,GU7 1UW,Godalming,GU7 1,Surrey,2021
Walton Leigh School,0,KT12 5AB,Walton-on-Thames,KT12 ,Surrey,2021
Warlingham School,46.1,CR6 9YB,Warlingham,CR6 9,Surrey,2021
Weydon School,62.5,GU9 8UG,Farnham,GU9 8,Surrey,2021
The Winston Churchill School A Specialist Sports College,53.3,GU21 8TL,Woking,GU21 ,Surrey,2021
Wishmore Cross Academy,4.5,GU24 8NE,Woking,GU24 ,Surrey,2021
Woking High School,54.7,GU21 4TJ,Woking,GU21 ,Surrey,2021
Woldingham School,31.7,CR3 7YA,Caterham,CR3 7,Surrey,2021
Woodfield School,0.8,RH1 3PR,Redhill,RH1 3,Surrey,2021
Woolmer Hill School,53.9,GU27 1QB,Haslemere,GU27 ,Surrey,2021
The Yehudi Menuhin School,11.1,KT11 3QQ,Cobham,KT11 ,Surrey,2021
